Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1901,1635.988,1288.329,303.9,47.2725,106.112,569.1,66.1649,267.894
1902,1497.78,1059.421,303.9,46.5805,105.613,569.1,67.6212,266.097
1903,1332.937,995.174,303.9,43.7761,105.414,569.1,62.4824,267.203
1904,1550.802,1164.702,303.9,47.5224,104.212,569.1,67.4417,264.791
1905,1672.642,1089.877,303.9,46.6558,106.417,569.1,73.0981,259.408
1906,1355.861,899.227,303.9,43.4861,105.711,569.1,63.5439,266.102
1907,1295.731,985.156,303.9,44.4685,103.915,569.1,63.0544,261.302
1908,1839.525,1663.614,303.9,53.7372,103.707,569.1,68.8107,264.078
1909,1729.903,1370.485,303.9,48.3655,102.215,569.1,67.2527,264.289
1910,1433.2,1062.48,303.9,46.1655,103.609,569.1,66.4584,261.087
1911,1196.722,914.969,303.9,45.3728,103.612,569.1,63.983,263.188
1912,1367.795,914.099,303.9,43.1018,104.708,569.1,64.1167,263.692
1913,2012.143,1515.775,303.9,50.61,102.112,569.1,74.34,258.588
1914,1391.51,1049.632,303.9,46.09,103.111,569.1,64.5122,261.592
1915,1605.026,1180.589,303.9,47.5114,104.612,569.1,70.034,267.185
1916,2050.262,1538.075,305.599,52.4138,102.713,576.896,71.9056,265.383
1917,1742.676,1144.741,307.4,46.991,102.51,573.799,71.5641,258.99
1918,1406.917,1095.747,307.703,47.5942,103.309,578.009,64.7526,260.485
1919,1594.412,1264.713,306.299,47.7909,103.308,573.598,68.0744,263.983
1920,1619.596,1223.228,306.899,47.434,105.409,574.399,64.9141,265.286
1921,1392.844,1174.59,308.997,48.4802,103.7,576.496,64.4816,265.168
1922,2003.141,1859.6,307.8,56.1285,102.107,577.394,71.9146,264.275
1923,1410.491,1087.716,307.598,44.6478,104.908,577.197,62.8039,264.068
1924,1325.823,1128.935,307.701,48.255,104.909,572.804,64.3541,268.174
1925,1499.627,1069.052,307.601,46.3665,103.011,580.501,66.8668,257.989
1926,1828.816,1406.585,307.7,49.4627,105.006,582.899,70.6706,260.575
1927,1174.992,870.636,308.1,44.7036,104.404,579.394,64.6148,262.682
1928,1884.73,1562.706,308.699,51.3538,103.607,571.799,71.7832,266.083
1929,1509.775,979.875,307,43.2911,104.103,574.803,66.3891,263.489
1930,1422.684,1211.001,306.904,48.3505,104.404,580.008,66.8131,263.578
1931,1517.681,1063.928,309.908,45.5618,107.406,602.603,67.6682,273.091
1932,1357.503,921.268,309.804,44.1852,105.607,585.827,64.7102,270.986
1933,1941.683,1394.085,315.2,50.5153,104.106,581.707,73.6009,262.588
1934,1383.953,1106.671,306.305,48.4229,105.009,583.709,66.6699,266.791
1935,1017.28,846.139,304.703,46.1941,106.407,563.8,59.3737,268.189
1936,1719.382,1304.7,313.11,50.8245,104.51,586.719,71.5982,267.994
1937,1759.494,1350.905,310.509,49.6054,104.709,573.52,71.2628,260.79
1938,1131.921,719.061,312.907,39.9874,105.306,596.516,59.8662,269.078
1939,1897.875,1523.95,305.606,53.9291,103.706,576.917,73.7853,270.381
1940,1516.721,1114.206,302.41,46.9526,104.9,584.91,67.3928,268.372
1941,2093.859,1640.524,313.001,52.6489,105.707,597.809,71.9962,274.583
1942,1551.424,1287.059,309.901,49.8785,105.406,586.408,66.1051,272.384
1943,1605.427,1238.817,301.807,50.1277,103.408,576.121,69.1328,266.181
1944,1508.735,1187.377,307.806,47.6321,107.008,582.414,67.716,268.776
1945,1382.497,859.941,310.999,42.8851,106.808,571.406,65.4606,263.488
1946,1619.428,1176.348,307.607,48.0382,104.906,555.622,68.7544,264.681
1947,1639.083,1343.901,303.2,50.99,106.507,562.707,69.823,272.982
1948,1636.416,1099.314,297.702,46.5428,104.615,566.316,69.3016,267.996
1949,1610.357,1131.569,294.981,49.7248,103.205,536.264,71.8052,259.993
1950,1490.093,1097.534,299.305,46.6099,104.004,530.004,66.0885,263.375
1951,1573.28,1228.827,289.683,50.1147,105.21,521.677,68.8712,271.37
1952,1501.517,1093.26,306.501,46.7381,105.108,557.521,67.0606,269.286
1953,1264.424,1083.226,307.8,48.2239,104.516,578.408,62.4568,277.407
1954,1205.561,894.969,312.602,47.4672,105.712,549.7,63.7794,268.091
1955,1353.162,877.078,310.291,45.5896,104.898,575.792,66.9921,265.77
1956,1749.686,1377.23,317.821,51.5299,103.617,582.913,74.0158,266.793
1957,1248.399,978.502,294.012,43.7396,105.004,528.323,57.3945,266.892
1958,1230.17,938.55,301.3,43.3411,106.905,571.891,60.5601,277.676
1959,1787.567,1227.023,312.307,48.5327,105.007,593.206,73.7496,269.493
1960,1525.719,1285.303,312.723,48.2146,106.513,550.944,63.1248,269.803
1961,1449.038,1120.067,314.898,48.0198,105.212,602.002,67.622,266.704
1962,1201.346,899.22,308.218,43.2974,105.41,549.956,58.9801,262.695
1963,1530.23,1140.187,299.999,47.178,105.207,528.089,69.9581,265.091
1964,1492.882,1147.442,307.199,47.3832,105.309,575.098,67.5333,272.89
1965,1599.97,1322.011,296.393,49.8109,105.202,538.704,66.1614,265.576
1966,1134.576,943.749,298.8,45.2139,101.903,540.104,60.9553,265.472
1967,1304.875,1022.214,300.199,46.9546,105.209,540.215,64.7165,266.104
1968,1929.753,1658.397,305.585,52.9714,103.004,568.888,69.8128,262.96
1969,1539.929,1169.79,305.402,51.1272,105.111,553.408,70.335,267.303
1970,1883.415,1477.959,307.993,48.6103,103.696,571.726,69.2795,265.166
1971,2289.753,1617.051,319.126,56.403,101.214,593.841,80.2752,256.093
1972,1342.929,1117.284,282.634,43.3311,101.833,512.354,59.0171,259.953
1973,1840.869,1182.065,303,51.2751,101.536,578.709,76.6023,262.866
1974,1689.052,1122.501,293.705,46.7244,102.634,552.408,68.5981,260.242
1975,1414.203,1031.371,304.2,45.3909,102.412,567.215,63.5965,263.672
1976,1413.453,1121.649,288.672,47.2788,103.803,525.856,64.2113,268.274
1977,1870.076,1447.489,305.287,48.8919,104.206,568.63,71.698,266.38
1978,2326.694,1830.301,310.891,50.778,103.904,594.41,75.0914,264.775
1979,1277.556,957.057,297.004,43.3861,103.5,573.798,59.5181,270.365
1980,1580.159,1140.448,317.004,45.778,102.504,600.292,66.8967,265.98
1981,1605.499,1105.756,307.812,45.8928,101.912,599.703,68.6424,262.099
1982,1162.559,904.005,303.908,44.1816,106.714,574.104,60.8108,269.704
1983,1495.386,980.249,302.609,44.4934,106.412,586.236,69.531,269.291
1984,2022.697,1741.843,305.695,52.4278,103.407,558.987,72.6241,262.682
1985,1385.189,1130.322,304.191,46.1674,103.599,565.678,63.4191,267.761
1986,1987.581,1602.86,296.599,50.834,103.203,560.762,74.2016,264.866
1987,1664.697,1317.302,305.787,48.181,106.5,573.98,67.9693,270.436
1988,1797.506,1449.215,309.096,53.0449,105.698,592.775,73.7165,273.86
1989,1424.185,1022.278,302.395,43.5957,104.405,575.065,63.9572,268.074
1990,2169.21,1566.014,312.299,52.9248,106.402,651.21,79.7107,274.073
1991,1761.296,1397.748,304.6,50.0446,106.014,571.597,69.8051,269.487
1992,1350.397,1165.335,303.7,45.113,105.306,569.801,58.9822,267.982
1993,2235.424,1700.856,303.9,53.8615,104.307,569.1,76.7227,266.08
1994,1652.833,1110.261,303.9,47.6242,104.711,569.1,71.3399,268.585
1995,1721.142,1308.386,303.9,48.7158,106.109,571.396,69.4301,270.993
1996,1547.165,1239.314,299.505,45.7709,105.811,522.496,64.229,271.897
1997,1826.394,1402.354,296.213,51.1122,105.116,539.032,72.6453,271.098
1998,1729.325,1035.593,293.193,47.8809,108.606,561.319,73.7115,277.989
1999,2067.181,1765.436,306.318,55.6056,104.708,546.572,73.2871,276.382
2000,1360.44,936.607,282.505,44.1758,106.011,532.377,66.7139,274.49
2001,1406.058,924.339,290.825,44.085,106.312,539.191,66.1112,276.99
2002,1658.847,1351.011,286.318,48.9192,104.709,537.742,68.4537,271.483
